node_id,path,string
1,<root>,Rectangle001@node_3
1,<root>.bake_subdiv_filepath,
1,<root>.geometry,Mesh_1082077658375160016
1,<root>.material,a1___Defaultz@mtl__1
1,<root>.material.brdf,a1___Defaultz@mtl_brdf__2
1,<root>.material.brdf.lpe_label,01 - Defaultz
1,<root>.material.scene_name[0],01 - Defaultz
1,<root>.scene_name[0],Rectangle001
1,<root>.scene_name[1],scene/Rectangle001
1,<root>.scene_name[2],layer/0
1,<root>.user_attributes,
2,<root>,Rectangle002@node_4
2,<root>.bake_subdiv_filepath,
2,<root>.geometry,Mesh_11911761168915494605
2,<root>.material,a1___Defaultz@mtl__1
2,<root>.material.brdf,a1___Defaultz@mtl_brdf__2
2,<root>.material.brdf.lpe_label,01 - Defaultz
2,<root>.material.scene_name[0],01 - Defaultz
2,<root>.scene_name[0],Rectangle002
2,<root>.scene_name[1],scene/Rectangle002
2,<root>.scene_name[2],layer/0
2,<root>.user_attributes,
3,<root>,对象001@node_5
3,<root>.bake_subdiv_filepath,
3,<root>.geometry,Mesh_14698211532792495139
3,<root>.material,水泥砖@mtl__5
3,<root>.material.brdf,水泥砖@mtl_brdf__6
3,<root>.material.brdf.bump_map,贴图__231454565@tex_3
3,<root>.material.brdf.bump_map.bitmap,bitmapBuffer_2_gsRGB
3,<root>.material.brdf.bump_map.bitmap.file,/home/bishal/ml-hypersim/examples/01_marketplace_dataset/scenes/ai_001_001/_asset/02/3d66Mat-831736-maps-1.jpg
3,<root>.material.brdf.bump_map.bitmap.rgb_color_space,raw
3,<root>.material.brdf.bump_map.uvwgen,贴图__231454565@tex_3_uvwgen
3,<root>.material.brdf.diffuse,水泥砖@mtl_brdf__6_diffuse_combine
3,<root>.material.brdf.diffuse.texture,贴图__1@tex_0
3,<root>.material.brdf.diffuse.texture.texture_map,贴图__231454564@tex_1
3,<root>.material.brdf.diffuse.texture.texture_map.bitmap,bitmapBuffer_0_gsRGB
3,<root>.material.brdf.diffuse.texture.texture_map.bitmap.file,/home/bishal/ml-hypersim/examples/01_marketplace_dataset/scenes/ai_001_001/_asset/02/3d66Mat-831736-maps-2.jpg
3,<root>.material.brdf.diffuse.texture.texture_map.bitmap.rgb_color_space,raw
3,<root>.material.brdf.diffuse.texture.texture_map.uvwgen,贴图__231454564@tex_1_uvwgen
3,<root>.material.brdf.lpe_label,水泥砖
3,<root>.material.brdf.reflect,水泥砖@mtl_brdf__6_reflect_combine
3,<root>.material.brdf.reflect.texture,贴图__231455@tex_2
3,<root>.material.brdf.reflect.texture.bitmap,bitmapBuffer_1_gsRGB
3,<root>.material.brdf.reflect.texture.bitmap.file,/home/bishal/ml-hypersim/examples/01_marketplace_dataset/scenes/ai_001_001/_asset/02/3d66Mat-831736-maps-3.png
3,<root>.material.brdf.reflect.texture.bitmap.rgb_color_space,raw
3,<root>.material.brdf.reflect.texture.uvwgen,贴图__231455@tex_2_uvwgen
3,<root>.material.brdf.reflect_glossiness,水泥砖@mtl_brdf__6_refl_gloss_combine
3,<root>.material.brdf.reflect_glossiness.texture,贴图__231455@tex_mono_0_mono
3,<root>.material.scene_name[0],水泥砖
3,<root>.scene_name[0],对象001
3,<root>.scene_name[1],scene/对象001
3,<root>.scene_name[2],layer/0
3,<root>.user_attributes,
4,<root>,对象002@node_6
4,<root>.bake_subdiv_filepath,
4,<root>.geometry,Mesh_8324995006228257214
4,<root>.material,a2___Defaultz@mtl__8
4,<root>.material.brdf,a2___Defaultz@mtl_brdf__9
4,<root>.material.brdf.lpe_label,02 - Defaultz
4,<root>.material.scene_name[0],02 - Defaultz
4,<root>.scene_name[0],对象002
4,<root>.scene_name[1],scene/对象002
4,<root>.scene_name[2],layer/0
4,<root>.user_attributes,
5,<root>,Rectangle059@node_376
5,<root>.bake_subdiv_filepath,
5,<root>.geometry,Mesh_5475776799648947797
5,<root>.material,a1___Defaultz@mtl__1
5,<root>.material.brdf,a1___Defaultz@mtl_brdf__2
5,<root>.material.brdf.lpe_label,01 - Defaultz
5,<root>.material.scene_name[0],01 - Defaultz
5,<root>.scene_name[0],Rectangle059
5,<root>.scene_name[1],scene/Rectangle059
5,<root>.scene_name[2],layer/0
5,<root>.user_attributes,
6,<root>,Obj3d66_733890_2_374@node_380
6,<root>.bake_subdiv_filepath,
6,<root>.geometry,Mesh_1341224822053896603
6,<root>.material,Mat3d66_733890_2_7184@mtl__12
6,<root>.material.brdf,Mat3d66_733890_2_7184@mtl_brdf__13
6,<root>.material.brdf.bump_map,贴图__9@tex_8
6,<root>.material.brdf.bump_map.bitmap,bitmapBuffer_5_gsRGB
6,<root>.material.brdf.bump_map.bitmap.file,/home/bishal/ml-hypersim/examples/01_marketplace_dataset/scenes/ai_001_001/_asset/02/965772.jpg
6,<root>.material.brdf.bump_map.bitmap.rgb_color_space,raw
6,<root>.material.brdf.bump_map.uvwgen,贴图__9@tex_8_uvwgen
6,<root>.material.brdf.diffuse,Mat3d66_733890_2_7184@mtl_brdf__13_diffuse_combine
6,<root>.material.brdf.diffuse.texture,贴图__6@tex_4
6,<root>.material.brdf.diffuse.texture.blend_input,贴图__6@tex_4_mix_curve
6,<root>.material.brdf.diffuse.texture.color1,贴图__6@tex_4_color1_map1_combine
6,<root>.material.brdf.diffuse.texture.color1.texture,贴图__7@tex_5
6,<root>.material.brdf.diffuse.texture.color2,贴图__6@tex_4_color2_map2_combine
6,<root>.material.brdf.diffuse.texture.color2.texture,贴图__8@tex_7
6,<root>.material.brdf.diffuse.texture.color2.texture.bitmap,bitmapBuffer_4_gsRGB
6,<root>.material.brdf.diffuse.texture.color2.texture.bitmap.file,/home/bishal/ml-hypersim/examples/01_marketplace_dataset/scenes/ai_001_001/_asset/02/17.jpg
6,<root>.material.brdf.diffuse.texture.color2.texture.bitmap.rgb_color_space,raw
6,<root>.material.brdf.diffuse.texture.color2.texture.uvwgen,贴图__8@tex_7_uvwgen
6,<root>.material.brdf.lpe_label,Mat3d66-733890-2-7184
6,<root>.material.scene_name[0],Mat3d66-733890-2-7184
6,<root>.scene_name[0],Obj3d66-733890-2-374
6,<root>.scene_name[1],scene/Group-733890-2-435/Obj3d66-733890-2-374
6,<root>.scene_name[2],layer/0
6,<root>.user_attributes,3d66Models: www.3d66.com-ID:733890;
7,<root>,Group_733890_2_435@node_379
7,<root>.bake_subdiv_filepath,
7,<root>.scene_name[0],Group-733890-2-435
7,<root>.scene_name[1],scene/Group-733890-2-435
7,<root>.scene_name[2],layer/0
7,<root>.user_attributes,
8,<root>,Rectangle061@node_395
8,<root>.bake_subdiv_filepath,
8,<root>.geometry,Mesh_16331438421337964461
8,<root>.material,Rectangle061@node_395_stats
8,<root>.material.base_mtl,b0___Default@mtl__15
8,<root>.material.base_mtl.brdf,b0___Default@mtl_brdf__16
8,<root>.material.base_mtl.brdf.color,贴图__5@tex_9_layered
8,<root>.material.base_mtl.brdf.color.texture,贴图__5@tex_9
8,<root>.material.base_mtl.brdf.color.texture.bitmap,bitmapBuffer_6_gsRGB
8,<root>.material.base_mtl.brdf.color.texture.bitmap.file,/home/bishal/ml-hypersim/examples/01_marketplace_dataset/scenes/ai_001_001/_asset/02/999869.jpg
8,<root>.material.base_mtl.brdf.color.texture.bitmap.rgb_color_space,raw
8,<root>.material.base_mtl.brdf.color.texture.uvwgen,贴图__5@tex_9_uvwgen
8,<root>.material.base_mtl.scene_name[0],10 - Default
8,<root>.scene_name[0],Rectangle061
8,<root>.scene_name[1],scene/Rectangle061
8,<root>.scene_name[2],layer/0
8,<root>.user_attributes,
9,<root>,Rectangle035@node_576
9,<root>.bake_subdiv_filepath,
9,<root>.geometry,Mesh_2130080816240843896
9,<root>.material,a7___Default@mtl__18
9,<root>.material.brdf,a7___Default@mtl_brdf__19
9,<root>.material.brdf.diffuse,a7___Default@mtl_brdf__19_diffuse_combine
9,<root>.material.brdf.diffuse.texture,贴图__5@tex_10
9,<root>.material.brdf.diffuse.texture.bitmap,bitmapBuffer_7_gsRGB
9,<root>.material.brdf.diffuse.texture.bitmap.file,/home/bishal/ml-hypersim/examples/01_marketplace_dataset/scenes/ai_001_001/_asset/02/人物插画贴图ID_933146156.jpg
9,<root>.material.brdf.diffuse.texture.bitmap.rgb_color_space,raw
9,<root>.material.brdf.diffuse.texture.uvwgen,贴图__5@tex_10_uvwgen
9,<root>.material.brdf.lpe_label,07 - Default
9,<root>.material.scene_name[0],07 - Default
9,<root>.scene_name[0],Rectangle035
9,<root>.scene_name[1],scene/三人桌/Rectangle035
9,<root>.scene_name[2],layer/0
9,<root>.user_attributes,
10,<root>,三人桌@node_575
10,<root>.bake_subdiv_filepath,
10,<root>.scene_name[0],三人桌
10,<root>.scene_name[1],scene/三人桌
10,<root>.scene_name[2],layer/0
10,<root>.user_attributes,
11,<root>,Box010@node_577
11,<root>.bake_subdiv_filepath,
11,<root>.geometry,Mesh_15942702748153795796
11,<root>.material,a7___Default@mtl__18
11,<root>.material.brdf,a7___Default@mtl_brdf__19
11,<root>.material.brdf.diffuse,a7___Default@mtl_brdf__19_diffuse_combine
11,<root>.material.brdf.diffuse.texture,贴图__5@tex_10
11,<root>.material.brdf.diffuse.texture.bitmap,bitmapBuffer_7_gsRGB
11,<root>.material.brdf.diffuse.texture.bitmap.file,/home/bishal/ml-hypersim/examples/01_marketplace_dataset/scenes/ai_001_001/_asset/02/人物插画贴图ID_933146156.jpg
11,<root>.material.brdf.diffuse.texture.bitmap.rgb_color_space,raw
11,<root>.material.brdf.diffuse.texture.uvwgen,贴图__5@tex_10_uvwgen
11,<root>.material.brdf.lpe_label,07 - Default
11,<root>.material.scene_name[0],07 - Default
11,<root>.scene_name[0],Box010
11,<root>.scene_name[1],scene/三人桌/Box010
11,<root>.scene_name[2],layer/0
11,<root>.user_attributes,
12,<root>,Rectangle036@node_578
12,<root>.bake_subdiv_filepath,
12,<root>.geometry,Mesh_2130080816240843896
12,<root>.material,a7___Defaultdzdddf@mtl__21
12,<root>.material.brdf,a7___Defaultdzdddf@mtl_brdf__22
12,<root>.material.brdf.diffuse,a7___Defaultdzdddf@mtl_brdf__22_diffuse_combine
12,<root>.material.brdf.diffuse.texture,贴图__5@tex_11
12,<root>.material.brdf.diffuse.texture.bitmap,bitmapBuffer_8_gsRGB
12,<root>.material.brdf.diffuse.texture.bitmap.file,/home/bishal/ml-hypersim/examples/01_marketplace_dataset/scenes/ai_001_001/_asset/02/stock-photo-166571675.jpg
12,<root>.material.brdf.diffuse.texture.bitmap.rgb_color_space,raw
12,<root>.material.brdf.diffuse.texture.uvwgen,贴图__5@tex_11_uvwgen
12,<root>.material.brdf.lpe_label,07 - Defaultdzdddf
12,<root>.material.scene_name[0],07 - Defaultdzdddf
12,<root>.scene_name[0],Rectangle036
12,<root>.scene_name[1],scene/三人桌/Rectangle036
12,<root>.scene_name[2],layer/0
12,<root>.user_attributes,
13,<root>,Box011@node_579
13,<root>.bake_subdiv_filepath,
13,<root>.geometry,Mesh_15942702748153795796
13,<root>.material,a7___Defaultdzdddf@mtl__21
13,<root>.material.brdf,a7___Defaultdzdddf@mtl_brdf__22
13,<root>.material.brdf.diffuse,a7___Defaultdzdddf@mtl_brdf__22_diffuse_combine
13,<root>.material.brdf.diffuse.texture,贴图__5@tex_11
13,<root>.material.brdf.diffuse.texture.bitmap,bitmapBuffer_8_gsRGB
13,<root>.material.brdf.diffuse.texture.bitmap.file,/home/bishal/ml-hypersim/examples/01_marketplace_dataset/scenes/ai_001_001/_asset/02/stock-photo-166571675.jpg
13,<root>.material.brdf.diffuse.texture.bitmap.rgb_color_space,raw
13,<root>.material.brdf.diffuse.texture.uvwgen,贴图__5@tex_11_uvwgen
13,<root>.material.brdf.lpe_label,07 - Defaultdzdddf
13,<root>.material.scene_name[0],07 - Defaultdzdddf
13,<root>.scene_name[0],Box011
13,<root>.scene_name[1],scene/三人桌/Box011
13,<root>.scene_name[2],layer/0
13,<root>.user_attributes,
14,<root>,Rectangle037@node_580
14,<root>.bake_subdiv_filepath,
14,<root>.geometry,Mesh_2130080816240843896
14,<root>.material,a7___Defaultdzddd@mtl__23
14,<root>.material.brdf,a7___Defaultdzddd@mtl_brdf__24
14,<root>.material.brdf.diffuse,a7___Defaultdzddd@mtl_brdf__24_diffuse_combine
14,<root>.material.brdf.diffuse.texture,贴图__5@tex_12
14,<root>.material.brdf.diffuse.texture.bitmap,bitmapBuffer_9_gsRGB
14,<root>.material.brdf.diffuse.texture.bitmap.file,/home/bishal/ml-hypersim/examples/01_marketplace_dataset/scenes/ai_001_001/_asset/02/20170922083946_CQ4EM.jpeg
14,<root>.material.brdf.diffuse.texture.bitmap.rgb_color_space,raw
14,<root>.material.brdf.diffuse.texture.uvwgen,贴图__5@tex_12_uvwgen
14,<root>.material.brdf.lpe_label,07 - Defaultdzddd
14,<root>.material.scene_name[0],07 - Defaultdzddd
14,<root>.scene_name[0],Rectangle037
14,<root>.scene_name[1],scene/三人桌/Rectangle037
14,<root>.scene_name[2],layer/0
14,<root>.user_attributes,
15,<root>,Box012@node_581
15,<root>.bake_subdiv_filepath,
15,<root>.geometry,Mesh_15942702748153795796
15,<root>.material,a7___Defaultdzddd@mtl__23
15,<root>.material.brdf,a7___Defaultdzddd@mtl_brdf__24
15,<root>.material.brdf.diffuse,a7___Defaultdzddd@mtl_brdf__24_diffuse_combine
15,<root>.material.brdf.diffuse.texture,贴图__5@tex_12
15,<root>.material.brdf.diffuse.texture.bitmap,bitmapBuffer_9_gsRGB
15,<root>.material.brdf.diffuse.texture.bitmap.file,/home/bishal/ml-hypersim/examples/01_marketplace_dataset/scenes/ai_001_001/_asset/02/20170922083946_CQ4EM.jpeg
15,<root>.material.brdf.diffuse.texture.bitmap.rgb_color_space,raw
15,<root>.material.brdf.diffuse.texture.uvwgen,贴图__5@tex_12_uvwgen
15,<root>.material.brdf.lpe_label,07 - Defaultdzddd
15,<root>.material.scene_name[0],07 - Defaultdzddd
15,<root>.scene_name[0],Box012
15,<root>.scene_name[1],scene/三人桌/Box012
15,<root>.scene_name[2],layer/0
15,<root>.user_attributes,
16,<root>,Line002@node_583
16,<root>.bake_subdiv_filepath,
16,<root>.geometry,Mesh_8069789315394890747
16,<root>.material,a1___Default@mtl__26
16,<root>.material.brdf,a1___Default@mtl_brdf__27
16,<root>.material.brdf.lpe_label,01 - Default
16,<root>.material.scene_name[0],01 - Default
16,<root>.scene_name[0],Line002
16,<root>.scene_name[1],scene/三人桌/组001/Line002
16,<root>.scene_name[2],layer/0
16,<root>.user_attributes,
17,<root>,组001@node_582
17,<root>.bake_subdiv_filepath,
17,<root>.scene_name[0],组001
17,<root>.scene_name[1],scene/三人桌/组001
17,<root>.scene_name[2],layer/0
17,<root>.user_attributes,
18,<root>,Circle002@node_584
18,<root>.bake_subdiv_filepath,
18,<root>.geometry,Mesh_2984604966146738406
18,<root>.material,Material__90@mtl__29
18,<root>.material.brdf,Material__90@mtl_brdf__30
18,<root>.material.brdf.lpe_label,Material #90
18,<root>.material.scene_name[0],Material #90
18,<root>.scene_name[0],Circle002
18,<root>.scene_name[1],scene/三人桌/组001/Circle002
18,<root>.scene_name[2],layer/0
18,<root>.user_attributes,
19,<root>,Box001@node_585
19,<root>.bake_subdiv_filepath,
19,<root>.geometry,Mesh_18347481127991866678
19,<root>.material,a9___Default@mtl__32
19,<root>.material.brdf,a9___Default@mtl_brdf__33
19,<root>.material.brdf.bump_map,贴图__10@tex_17
19,<root>.material.brdf.bump_map.bitmap,bitmapBuffer_5_gsRGB
19,<root>.material.brdf.bump_map.bitmap.file,/home/bishal/ml-hypersim/examples/01_marketplace_dataset/scenes/ai_001_001/_asset/02/965772.jpg
19,<root>.material.brdf.bump_map.bitmap.rgb_color_space,raw
19,<root>.material.brdf.bump_map.uvwgen,贴图__10@tex_17_uvwgen
19,<root>.material.brdf.diffuse,a9___Default@mtl_brdf__33_diffuse_combine
19,<root>.material.brdf.diffuse.texture,贴图__7@tex_13
19,<root>.material.brdf.diffuse.texture.blend_input,贴图__7@tex_13_mix_curve
19,<root>.material.brdf.diffuse.texture.color1,贴图__7@tex_13_color1_map1_combine
19,<root>.material.brdf.diffuse.texture.color1.texture,贴图__8@tex_14
19,<root>.material.brdf.diffuse.texture.color2,贴图__7@tex_13_color2_map2_combine
19,<root>.material.brdf.diffuse.texture.color2.texture,贴图__9@tex_16
19,<root>.material.brdf.diffuse.texture.color2.texture.bitmap,bitmapBuffer_11_gsRGB
19,<root>.material.brdf.diffuse.texture.color2.texture.bitmap.file,/home/bishal/ml-hypersim/examples/01_marketplace_dataset/scenes/ai_001_001/_asset/02/04（3）.jpg
19,<root>.material.brdf.diffuse.texture.color2.texture.bitmap.rgb_color_space,raw
19,<root>.material.brdf.diffuse.texture.color2.texture.uvwgen,贴图__9@tex_16_uvwgen
19,<root>.material.brdf.lpe_label,09 - Default
19,<root>.material.scene_name[0],09 - Default
19,<root>.scene_name[0],Box001
19,<root>.scene_name[1],scene/三人桌/组001/Box001
19,<root>.scene_name[2],layer/0
19,<root>.user_attributes,
20,<root>,Sphere001@node_586
20,<root>.bake_subdiv_filepath,
20,<root>.geometry,Mesh_17088079426900871836
20,<root>.material,a9___Default@mtl__32
20,<root>.material.brdf,a9___Default@mtl_brdf__33
20,<root>.material.brdf.bump_map,贴图__10@tex_17
20,<root>.material.brdf.bump_map.bitmap,bitmapBuffer_5_gsRGB
20,<root>.material.brdf.bump_map.bitmap.file,/home/bishal/ml-hypersim/examples/01_marketplace_dataset/scenes/ai_001_001/_asset/02/965772.jpg
20,<root>.material.brdf.bump_map.bitmap.rgb_color_space,raw
20,<root>.material.brdf.bump_map.uvwgen,贴图__10@tex_17_uvwgen
20,<root>.material.brdf.diffuse,a9___Default@mtl_brdf__33_diffuse_combine
20,<root>.material.brdf.diffuse.texture,贴图__7@tex_13
20,<root>.material.brdf.diffuse.texture.blend_input,贴图__7@tex_13_mix_curve
20,<root>.material.brdf.diffuse.texture.color1,贴图__7@tex_13_color1_map1_combine
20,<root>.material.brdf.diffuse.texture.color1.texture,贴图__8@tex_14
20,<root>.material.brdf.diffuse.texture.color2,贴图__7@tex_13_color2_map2_combine
20,<root>.material.brdf.diffuse.texture.color2.texture,贴图__9@tex_16
20,<root>.material.brdf.diffuse.texture.color2.texture.bitmap,bitmapBuffer_11_gsRGB
