node_id,node_name,object_id,object_name
1,Rectangle001@node_3,0,Rectangle001
2,Rectangle002@node_4,1,Rectangle002
3,对象001@node_5,-1,_NULL_OBJECT
4,对象002@node_6,-1,_NULL_OBJECT
5,Rectangle059@node_376,4,Rectangle059
6,Obj3d66_733890_2_374@node_380,5,Obj3d66_733890_2_374
7,Group_733890_2_435@node_379,-1,_NULL_OBJECT
8,Rectangle061@node_395,6,Rectangle061
9,Rectangle035@node_576,7,Rectangle035
10,三人桌@node_575,-1,_NULL_OBJECT
11,Box010@node_577,8,Box010
12,Rectangle036@node_578,9,Rectangle036
13,Box011@node_579,10,Box011
14,Rectangle037@node_580,11,Rectangle037
15,Box012@node_581,12,Box012
16,Line002@node_583,13,Line002
17,组001@node_582,-1,_NULL_OBJECT
18,Circle002@node_584,14,Circle002
19,Box001@node_585,15,Box001
20,Sphere001@node_586,16,Sphere001
21,Circle015@node_588,17,Circle015
22,组014@node_587,-1,_NULL_OBJECT
23,Sphere012@node_589,18,Sphere012
24,Line038@node_590,19,Line038
25,Box003@node_591,20,Box003
26,Circle016@node_593,21,Circle016
27,组016@node_592,-1,_NULL_OBJECT
28,Sphere013@node_594,22,Sphere013
29,Line039@node_595,23,Line039
30,Box004@node_596,24,Box004
31,Line040@node_598,25,Line040
32,组018@node_597,-1,_NULL_OBJECT
33,Circle017@node_599,26,Circle017
34,Box005@node_600,27,Box005
35,Sphere014@node_601,28,Sphere014
36,Circle018@node_603,29,Circle018
37,组020@node_602,-1,_NULL_OBJECT
38,Sphere015@node_604,30,Sphere015
39,Line041@node_605,31,Line041
40,Box006@node_606,32,Box006
41,Circle019@node_608,33,Circle019
42,组022@node_607,-1,_NULL_OBJECT
43,Sphere016@node_609,34,Sphere016
44,Line042@node_610,35,Line042
45,Box007@node_611,36,Box007
46,Plane053@node_613,37,Plane053
47,组029@node_612,-1,_NULL_OBJECT
48,Circle032@node_614,38,Circle032
49,Plane054@node_615,39,Plane054
50,Plane055@node_616,40,Plane055
51,Rectangle052@node_617,41,Rectangle052
52,Circle033@node_618,42,Circle033
53,Circle034@node_619,43,Circle034
54,Rectangle053@node_620,44,Rectangle053
55,Circle035@node_621,45,Circle035
56,Rectangle054@node_622,46,Rectangle054
57,Circle036@node_623,47,Circle036
58,Rectangle055@node_624,48,Rectangle055
59,Circle037@node_625,49,Circle037
60,Rectangle056@node_626,50,Rectangle056
61,Plane056@node_627,51,Plane056
62,Rectangle057@node_628,52,Rectangle057
63,Plane057@node_629,53,Plane057
64,Plane058@node_630,54,Plane058
65,Plane059@node_631,55,Plane059
66,Plane060@node_632,56,Plane060
67,Plane061@node_633,57,Plane061
68,Plane062@node_634,58,Plane062
69,Plane063@node_635,59,Plane063
70,Plane064@node_636,60,Plane064
71,对象005@node_637,-1,_NULL_OBJECT
72,Rectangle058@node_638,62,Rectangle058
73,Line048@node_639,63,Line048
74,Circle038@node_641,64,Circle038
75,组030@node_640,-1,_NULL_OBJECT
76,Plane065@node_642,65,Plane065
77,Circle039@node_643,66,Circle039
78,Plane066@node_644,67,Plane066
79,Plane067@node_645,68,Plane067
80,Rectangle059@node_646,4,Rectangle059
81,Circle040@node_647,69,Circle040
82,Rectangle060@node_648,70,Rectangle060
83,Circle041@node_649,71,Circle041
84,Rectangle061@node_650,6,Rectangle061
85,Circle042@node_651,72,Circle042
86,Rectangle062@node_652,73,Rectangle062
87,Circle043@node_653,74,Circle043
88,Rectangle063@node_654,75,Rectangle063
89,Plane068@node_655,76,Plane068
90,Rectangle064@node_656,77,Rectangle064
91,Plane069@node_657,78,Plane069
92,Plane070@node_658,79,Plane070
93,Plane071@node_659,80,Plane071
94,Plane072@node_660,81,Plane072
95,Plane073@node_661,82,Plane073
96,Plane074@node_662,83,Plane074
97,Plane075@node_663,84,Plane075
98,Plane076@node_664,85,Plane076
99,对象006@node_665,-1,_NULL_OBJECT
100,Rectangle065@node_666,87,Rectangle065
101,Line049@node_667,88,Line049
102,Plane077@node_669,89,Plane077
103,组031@node_668,-1,_NULL_OBJECT
104,Circle044@node_670,90,Circle044
105,Plane078@node_671,91,Plane078
106,Plane079@node_672,92,Plane079
107,Rectangle066@node_673,93,Rectangle066
108,Circle045@node_674,94,Circle045
109,Circle046@node_675,95,Circle046
110,Rectangle067@node_676,96,Rectangle067
111,Circle047@node_677,97,Circle047
112,Rectangle068@node_678,98,Rectangle068
113,Circle048@node_679,99,Circle048
114,Rectangle069@node_680,100,Rectangle069
115,Circle049@node_681,101,Circle049
116,Rectangle070@node_682,102,Rectangle070
117,Plane080@node_683,103,Plane080
118,Rectangle071@node_684,104,Rectangle071
119,Plane081@node_685,105,Plane081
120,Plane082@node_686,106,Plane082
121,Plane083@node_687,107,Plane083
122,Plane084@node_688,108,Plane084
123,Plane085@node_689,109,Plane085
124,Plane086@node_690,110,Plane086
125,Plane087@node_691,111,Plane087
126,Plane088@node_692,112,Plane088
127,对象007@node_693,-1,_NULL_OBJECT
128,Rectangle072@node_694,114,Rectangle072
129,Line050@node_695,115,Line050
130,Circle050@node_697,116,Circle050
131,组032@node_696,-1,_NULL_OBJECT
132,Plane089@node_698,117,Plane089
133,Circle051@node_699,118,Circle051
134,Plane090@node_700,119,Plane090
135,Plane091@node_701,120,Plane091
136,Rectangle073@node_702,121,Rectangle073
137,Circle052@node_703,122,Circle052
138,Rectangle074@node_704,123,Rectangle074
139,Circle053@node_705,124,Circle053
140,Rectangle075@node_706,125,Rectangle075
141,Circle054@node_707,126,Circle054
142,Rectangle076@node_708,127,Rectangle076
143,Circle055@node_709,128,Circle055
144,Rectangle077@node_710,129,Rectangle077
145,Plane092@node_711,130,Plane092
146,Rectangle078@node_712,131,Rectangle078
147,Plane093@node_713,132,Plane093
148,Plane094@node_714,133,Plane094
149,Plane095@node_715,134,Plane095
150,Plane096@node_716,135,Plane096
151,Plane097@node_717,136,Plane097
152,Plane098@node_718,137,Plane098
153,Plane099@node_719,138,Plane099
154,Plane100@node_720,139,Plane100
155,对象008@node_721,-1,_NULL_OBJECT
156,Rectangle079@node_722,141,Rectangle079
157,Line051@node_723,142,Line051
158,Sphere026@node_724,143,Sphere026
159,Sphere027@node_725,144,Sphere027
160,Sphere028@node_726,145,Sphere028
161,Sphere025@node_728,146,Sphere025
162,组033@node_727,-1,_NULL_OBJECT
163,Circle064@node_729,147,Circle064
164,Circle065@node_730,148,Circle065
165,Rectangle114@node_731,149,Rectangle114
166,Sphere032@node_733,150,Sphere032
167,组034@node_732,-1,_NULL_OBJECT
168,Circle066@node_734,151,Circle066
169,Circle067@node_735,152,Circle067
170,Rectangle115@node_736,153,Rectangle115
171,Rectangle013@node_737,154,Rectangle013
172,Rectangle014@node_738,155,Rectangle014
173,Line026@node_739,156,Line026
174,Line027@node_740,157,Line027
175,Line028@node_741,158,Line028
176,Line025@node_742,159,Line025
177,Rectangle012@node_743,160,Rectangle012
178,Rectangle011@node_744,161,Rectangle011
179,Rectangle034@node_758,162,Rectangle034
180,心形置物架@node_757,-1,_NULL_OBJECT
181,Rectangle036@node_759,9,Rectangle036
182,Rectangle039@node_760,163,Rectangle039
183,VRayProxy_Circle596@node_761,164,VRayProxy_Circle596
184,VRayProxy_Circle595@node_762,165,VRayProxy_Circle595
185,VRayProxy_Circle597@node_763,166,VRayProxy_Circle597
186,VRayProxy_Circle591@node_764,167,VRayProxy_Circle591
187,Rectangle040@node_765,168,Rectangle040
188,Line007@node_766,169,Line007
189,VRayProxy_Circle598@node_767,170,VRayProxy_Circle598
